ID,Age_group,ave_adj pumps,ave_RT_all_pumps,percentage_exploded_balloons,total_win_balloons,MI_Decision,MI_Reward,MI_Risk,Age_Continuous
17-06-11.4CBDHA,A,5.066666667,0.224467269,0.387755102,60,,,,20.08493151
17-06-13.2CBDHA,A,4.594594595,0.285113801,0.229166667,74,,,,24.63835616
17-06-13.4CBDHA,A,4.518181818,0.100163907,0.208633094,110,,,,19.99452055
17-06-15.1CBDHA,A,5.960784314,0.322118451,0.385542169,51,,,,23.17534247
17-06-15.2CBDHA,A,4.789473684,0.414612536,0.2875,57,,,,21.55890411
17-06-15.3CBDHA,A,5.019607843,0.392233983,0.346153846,51,,,,21.88767123
17-06-15.4CBDHA,A,5.081081081,0.202434,0.321100917,74,,,,21.58082192
17-06-17.1CBDHA,A,6.265306122,0.238874486,0.478723404,49,,,,21.35342466
17-06-17.2CBDHA,A,4.117117117,0.130500967,0.183823529,111,,,,21.4630137
17-06-17.3CBDHA,A,5.033333333,0.085777419,0.347826087,90,,,,23.33972603
17-06-17.4CBDHA,A,5.137254902,0.3400825,0.433333333,51,,,,26.14520548
17-06-18.1CBDHA,A,5.480769231,0.414962667,0.341772152,52,,,,26.44657534
17-06-18.3CBDHA,A,5.265306122,0.355580153,0.409638554,49,,,,24.16986301
17-06-18.4CBDHA,A,4.575,0.268181609,0.215686275,80,,,,24.89315068
17-06-23.1CBDHA,A,5.055555556,0.258579521,0.454545455,54,,,,22.02465753
17-06-23.2CBDHA,A,4.96,0.515673846,0.315068493,50,,,,25.17534247
17-06-23.3CBDHA,A,5.222222222,0.241369295,0.388349515,63,,,,22.09041096
17-06-23.4CBDHA,A,5.285714286,0.268534831,0.428571429,56,,,,23.31506849
17-06-24.1CBDHA,A,3.735294118,0.482319728,0.19047619,68,,,,20.90958904
17-06-24.2CBDHA,A,5.464788732,0.088946809,0.458015267,71,,,,25.09315068
17-06-24.4CBDHA,A,4.87012987,0.24357265,0.287037037,77,,,,20.15890411
17-06-25.1CBDHA,A,3.650406504,0.119178645,0.108695652,123,,,,21.82465753
17-06-25.2CBDHA,A,5.166666667,0.141530756,0.3,84,,,,24
17-06-25.3CBDHA,A,5,0.371744737,0.280487805,57,,,,22.86849315
17-06-25.4CBDHA,A,5.076923077,0.166248162,0.327586207,78,,,,19.99726027
17-06-30.1CBDHA,A,5.767857143,0.143003328,0.529411765,56,,,,22.83013699
17-06-30.2CBDHA,A,4.868131868,0.126790295,0.3,91,,,,22.3890411
17-06-30.3CBDHA,A,4.29,0.127003683,0.253731343,100,,,,22.2109589
17-06-30.4CBDHA,A,4.5625,0.123155752,0.28358209,96,,,,20.60273973
17-07-01.1CBDHA,A,5.454545455,0.149507143,0.445378151,66,,,,21.44931507
17-07-01.2CBDHA,A,4.965517241,0.382658793,0.283950617,58,,,,21.66575342
17-07-01.3CBDHA,A,5.206896552,0.099109635,0.360294118,87,,,,20.36164384
17-07-01.4CBDHA,A,5.271604938,0.123246552,0.352,81,,,,20.08493151
17-07-02.1CBDHA,A,4.506493506,0.171995943,0.347457627,77,,,,20.10136986
17-07-02.2CBDHA,A,4.66,0.098628814,0.28057554,100,,,,20.74246575
17-07-02.3CBDHA,A,4.816326531,0.396848138,0.395061728,49,,,,21.59178082
17-05-20.1CBDPA,A,5.175438596,0.34621608,0.329411765,57,,,,21.97534247
17-05-20.2CBDPA,A,5.086419753,0.137189624,0.336065574,81,,,,19.64657534
17-05-20.3CBDPA,A,3.962264151,0.602445313,0.228571429,53,,,,23.55068493
17-05-20.4CBDPA,A,3.588235294,0.474300395,0.074626866,34,,,,19.95068493
17-05-21.1CBDPA,A,5.120879121,0.099511401,0.305343511,91,,,,21.68493151
17-05-21.2CBDPA,A,5.734693878,0.281512528,0.449438202,49,,,,23.13150685
17-05-21.3CBDPA,A,5.133333333,0.115308581,0.312977099,90,,,,23.01643836
17-05-28.1CBDPA,A,4.672727273,0.416180473,0.3125,55,,,,25.6739726
17-05-28.2CBDPA,A,3.923076923,0.124162162,0.246376812,104,,,,20.14246575
17-05-29.2CBDPA,A,3.303797468,0.487396491,0.112359551,79,,,,22.64931507
17-05-29.3CBDPA,A,4.683333333,0.422934659,0.265060241,60,,,,22.05205479
17-06-22.2CBDPA,A,3,0.457839858,0.063157895,89,,,,24.44383562
17-06-22.3CBDPA,A,6.152173913,0.331572093,0.41025641,46,,,,22.90684932
17-06-22.4CBDPA,A,5.826086957,0.655612546,0.509090909,23,,,,20.35890411
17-06-24.1CBDPA,A,3.802197802,0.265069767,0.148148148,91,,,,21.60273973
17-06-24.3CBDPA,A,4.9,0.186908333,0.345794393,70,,,,24.74520548
17-06-25.1CBDPA,A,5,0.145672014,0.393442623,74,,,,25.3260274
17-06-25.2CBDPA,A,4.7875,0.254123077,0.215686275,80,,,,24.00821918
17-06-25.3CBDPA,A,4.956521739,0.190555556,0.361111111,69,,,,22.29315068
17-06-25.4CBDPA,A,4.939393939,0.226768559,0.352941176,66,,,,23.78630137
17-07-01.1CBDPA,A,5.333333333,0.136359511,0.369747899,75,,,,22.86575342
17-07-01.4CBDPA,A,4.842105263,0.176896686,0.309090909,76,,,,25.27123288
17-07-01.5CBDPA,A,4.6,0.136778584,0.230769231,100,,,,24.15616438
17-07-02.1CBDPA,A,4.789473684,0.319586207,0.305882353,57,,,,21.66849315
17-07-02.2CBDPA,A,4.160714286,0.129696565,0.151515152,112,,,,22.92054795
17-07-02.3CBDPA,A,5.044444444,0.069325434,0.347826087,90,,,,19.80547945
17-07-02.5CBDPA,A,4.15,0.153667347,0.193548387,100,,,,20.14520548
